"Evaporative Water temperature
(0C )",Glass cover temperature (0C),Ambient temperature (0C),Solar intensity (kw/ m2),Month Number,Productivity (ml/m 2hr)
20,16.2476,15,64.0365,1,54.0533
16.9102,13.167,16.5,214.0322,1,44.9838
30.8421,27.1068,18,390.3691,1,94.0139
43.8762,40.1329,22.5,555.3414,1,176.7045
53.0979,49.3506,24,672.0614,1,267.8483
56.3992,52.651,26,713.8455,1,309.3063
53.0181,49.275,27,671.0507,1,266.5326
43.7349,40.0023,27,553.5526,1,174.9214
30.6714,26.9491,26.5,388.2081,1,92.7043
22.1329,18.766,25.5,211.9738,1,56.2513
16.7475,13.0309,24,62.5047,1,44.1674
22,18.2748,19,73.0781,2,59.1619
18.2554,14.5441,23,231.0588,2,47.9642
33.1062,29.3941,25.5,419.0252,2,104.264
47.2298,43.505,28.5,597.7877,2,204.6808
57.5275,53.7894,29.5,728.1259,2,323.5792
61.6818,57.9445,30,780.707,2,386.0819
58.7472,55.015,32,743.5638,2,340.2516
49.3921,45.6725,32,625.1571,2,225.1921
35.728,32.0236,31.5,452.21,2,118.3355
27.1287,23.1265,31,262.889,2,73.1453
24,20.301,24.5,109.0442,3,65.2455
22.2593,18.5723,29.5,281.7357,3,59.2034
38.0261,34.3355,32,481.2968,3,132.2152
52.6798,48.9773,35,666.7688,3,258.9841
63.0537,59.3332,37,798.071,3,406.7087
66.8471,63.1212,37,846.085,3,477.4202
63.2095,59.4926,37.5,800.0434,3,408.8826
52.9566,49.2537,38,670.2725,3,262.1905
38.363,34.6762,37,485.5616,3,134.0046
29.2361,25.2397,36,285.8576,3,82.164
22.5849,18.9061,34,112.211,3,60.0803
25,21.3148,29.5,158.9245,4,68.4597
27.156,23.4772,33,343.7142,4,76.4515
43.2906,39.6017,35,547.9301,4,168.7513
57.6832,53.9784,37,730.0977,4,322.0746
67.2634,63.5404,38.5,851.3539,4,485.2505
69.9361,66.2074,38.5,885.1824,4,542.9575
65.1111,61.3943,38.5,824.1115,4,442.7436
53.8522,50.1558,39,681.6077,4,272.0629
38.6082,34.9314,39,488.6648,4,135.0018
31.5214,27.1242,38.5,285.9889,4,78.1265
22.5953,18.9333,38,113.841,4,59.7678
28,24.3099,30,185.1632,5,80.1702
29.3012,25.6182,32.5,370.866,5,85.4857
45.1718,41.4804,34.5,571.7406,5,184.2321
59.0524,55.3452,37,747.4272,5,341.7904
68.0141,64.2932,38.5,860.855,5,500.197
70.1188,66.399,39.5,887.494,5,545.383
64.9069,61.2002,41,821.5281,5,437.4876
53.5137,49.8257,41.5,677.3231,5,267.2774
38.3821,34.7117,41,485.8034,5,133.2348
34.4276,29.4531,40,286.6914,5,83.712
22.6508,18.993,39,118.654,5,59.8604
28,24.3224,33,179.6955,6,79.8218
28.4892,24.8174,35.5,360.5881,6,81.6899
44.1083,40.4285,37,558.2797,6,174.5198
57.9542,54.2587,39.5,733.5277,6,324.7943
67.1312,63.4179,41,849.6804,6,480.9884
69.6686,65.9536,41,881.7964,6,534.4942
65.0158,65.9536,42,822.9057,6,438.9346
54.1807,50.4957,42.5,685.7659,6,274.906
39.4761,35.8105,42,499.65,6,140.1238
33.5215,29.3417,41.5,303.0121,6,92.6532
23.9402,20.2875,40.5,133.9611,6,64.0104
25,21.3127,29.5,170.9586,7,68.5093
27.6535,23.9699,32.5,350.0102,7,78.57
43.2874,39.5923,34,547.8886,7,169.1165
57.3169,53.6048,35.5,725.4602,7,317.8326
66.8132,63.0854,36.5,845.6554,7,477.0456
69.7388,66.0086,37,882.6851,7,538.8283
65.4588,61.7376,38,828.5133,7,449.9065
54.9019,51.1791,38,694.8824,7,287.2872
40.3219,36.6204,33,510.3553,7,147.5371
33.6512,29.4512,33,313.1555,7,88.12478
24.7417,21.0546,32.5,141.6905,7,67.5772
25,21.283,23,156.1196,8,69.2261
26.5161,22.8105,25.5,335.6148,8,74.6442
42.431,38.7145,28.5,537.0493,8,163.7475
56.9181,53.185,30,720.4128,8,314.6783
66.9373,63.1902,31,847.2263,8,482.6635
70.3267,66.5766,32,890.1262,8,555.7949
66.3463,62.6061,33,839.7458,8,469.8586
55.8647,52.1412,33.5,707.0797,8,299.7049
41.14,37.4354,33,520.7091,8,153.5095
32.1205,28.6512,32.5,319.6175,8,87.1234
25.2522,21.5626,32,143.4923,8,69.4804
25,21.3022,29,155.2078,9,68.7592
26.824,23.1287,30,339.5123,9,75.5762
42.9595,39.2607,31,543.7384,9,166.7817
57.3864,53.6703,34.5,726.3406,9,319.2264
67.0221,63.292,35.5,848.2997,9,481.5812
69.756,66.0221,36.5,882.9031,9,539.9068
64.9834,61.2631,37,822.4955,9,440.9284
53.7583,50.0581,38,680.4202,9,271.307
38.527,34.8462,38,487.6372,9,134.6886
28.5436,25.4378,37.5,284.9123,9,71.5091
22.5102,18.8441,37,112.6361,9,59.58
25,21.319,33,158.1824,10,68.3607
27.105,23.4262,34,343.0685,10,76.2484
42.82,39.1357,35,541.9732,10,164.7101
56.3426,52.644,38,713.1289,10,303.3625
64.7149,61.0008,39.5,819.0971,10,435.0764
66.0682,62.3533,39.5,836.2258,10,460.4616
60.0982,56.3949,40,760.664,10,356.8673
48.1427,44.4551,40,609.3433,10,210.5672
32.8408,29.1686,39,415.6669,10,101.7675
25.1326,21.6542,38,221.046,10,58.96532
17.4643,13.8025,37,64.5184,10,45.1268
23,19.2826,23.5,142.1765,11,62.2555
25.0827,21.3763,25,317.4725,11,69.2655
39.7819,36.0666,28,503.5207,11,144.5257
52.1598,48.4341,29.5,660.1868,11,255.1454
59.4503,55.7169,31,752.4629,11,350.7543
59.9962,56.2697,32,759.3727,11,358.1563
53.6727,49.9607,34,679.3365,11,271.3902
41.9195,38.2201,35,530.5763,11,158.9286
27.3724,23.6828,34,346.4524,11,77.5989
18.5439,14.5421,32.5,166.9681,11,52.5612
13.1917,9.5079,31,28.6863,11,35.6587
20,16.2786,20,87.3164,12,52.993
19.1595,15.4453,23.5,242.5022,12,50.4753
32.8626,29.1402,25,415.9418,12,103.5398
45.0238,41.2999,26,569.8663,12,185.0606
52.8942,49.1674,29,669.4821,12,263.6183
54.6617,50.9343,31,691.8544,12,284.8571
49.9167,46.1902,31.5,631.796,12,231.065
39.7568,36.0436,30,503.2029,12,144.2475
26.5055,22.8083,30,335.48,12,74.3812
29.4521,26.8734,30.5,166.0065,12,46.3908
13.1158,9.4277,30,30.6357,12,35.5529
