Ambient temperature (0C),Solar intensity (kw/ m2),Month Number,Productivity (ml/m 2hr)
15,64.0365,1,54.0533
16.5,214.0322,1,44.9838
18,390.3691,1,94.0139
22.5,555.3414,1,176.7045
24,672.0614,1,267.8483
26,713.8455,1,309.3063
27,671.0507,1,266.5326
27,553.5526,1,174.9214
26.5,388.2081,1,92.7043
25.5,211.9738,1,56.2513
24,62.5047,1,44.1674
19,73.0781,2,59.1619
23,231.0588,2,47.9642
25.5,419.0252,2,104.264
28.5,597.7877,2,204.6808
29.5,728.1259,2,323.5792
30,780.707,2,386.0819
32,743.5638,2,340.2516
32,625.1571,2,225.1921
31.5,452.21,2,118.3355
31,262.889,2,73.1453
24.5,109.0442,3,65.2455
29.5,281.7357,3,59.2034
32,481.2968,3,132.2152
35,666.7688,3,258.9841
37,798.071,3,406.7087
37,846.085,3,477.4202
37.5,800.0434,3,408.8826
38,670.2725,3,262.1905
37,485.5616,3,134.0046
36,285.8576,3,82.164
34,112.211,3,60.0803
29.5,158.9245,4,68.4597
33,343.7142,4,76.4515
35,547.9301,4,168.7513
37,730.0977,4,322.0746
38.5,851.3539,4,485.2505
38.5,885.1824,4,542.9575
38.5,824.1115,4,442.7436
39,681.6077,4,272.0629
39,488.6648,4,135.0018
38.5,285.9889,4,78.1265
38,113.841,4,59.7678
30,185.1632,5,80.1702
32.5,370.866,5,85.4857
34.5,571.7406,5,184.2321
37,747.4272,5,341.7904
38.5,860.855,5,500.197
39.5,887.494,5,545.383
41,821.5281,5,437.4876
41.5,677.3231,5,267.2774
41,485.8034,5,133.2348
40,286.6914,5,83.712
39,118.654,5,59.8604
33,179.6955,6,79.8218
35.5,360.5881,6,81.6899
37,558.2797,6,174.5198
39.5,733.5277,6,324.7943
41,849.6804,6,480.9884
41,881.7964,6,534.4942
42,822.9057,6,438.9346
42.5,685.7659,6,274.906
42,499.65,6,140.1238
41.5,303.0121,6,92.6532
40.5,133.9611,6,64.0104
29.5,170.9586,7,68.5093
32.5,350.0102,7,78.57
34,547.8886,7,169.1165
35.5,725.4602,7,317.8326
36.5,845.6554,7,477.0456
37,882.6851,7,538.8283
38,828.5133,7,449.9065
38,694.8824,7,287.2872
33,510.3553,7,147.5371
33,313.1555,7,88.12478
32.5,141.6905,7,67.5772
23,156.1196,8,69.2261
25.5,335.6148,8,74.6442
28.5,537.0493,8,163.7475
30,720.4128,8,314.6783
31,847.2263,8,482.6635
32,890.1262,8,555.7949
33,839.7458,8,469.8586
33.5,707.0797,8,299.7049
33,520.7091,8,153.5095
32.5,319.6175,8,87.1234
32,143.4923,8,69.4804
29,155.2078,9,68.7592
30,339.5123,9,75.5762
31,543.7384,9,166.7817
34.5,726.3406,9,319.2264
35.5,848.2997,9,481.5812
36.5,882.9031,9,539.9068
37,822.4955,9,440.9284
38,680.4202,9,271.307
38,487.6372,9,134.6886
37.5,284.9123,9,71.5091
37,112.6361,9,59.58
33,158.1824,10,68.3607
34,343.0685,10,76.2484
35,541.9732,10,164.7101
38,713.1289,10,303.3625
39.5,819.0971,10,435.0764
39.5,836.2258,10,460.4616
40,760.664,10,356.8673
40,609.3433,10,210.5672
39,415.6669,10,101.7675
38,221.046,10,58.96532
37,64.5184,10,45.1268
23.5,142.1765,11,62.2555
25,317.4725,11,69.2655
28,503.5207,11,144.5257
29.5,660.1868,11,255.1454
31,752.4629,11,350.7543
32,759.3727,11,358.1563
34,679.3365,11,271.3902
35,530.5763,11,158.9286
34,346.4524,11,77.5989
32.5,166.9681,11,52.5612
31,28.6863,11,35.6587
20,87.3164,12,52.993
23.5,242.5022,12,50.4753
25,415.9418,12,103.5398
26,569.8663,12,185.0606
29,669.4821,12,263.6183
31,691.8544,12,284.8571
31.5,631.796,12,231.065
30,503.2029,12,144.2475
30,335.48,12,74.3812
30.5,166.0065,12,46.3908
30,30.6357,12,35.5529
